Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss
5.75025,BaseAutoTrader,Tick,10,10,0,3315,3315,13.26,-13.26,-13.26
6.005202,SpreadTrader,Tick,0,0,0,3315,3315,0.0,0.0,0.0
6.005202,PriceTrader,Tick,10,10,0,3315,3315,13.26,-13.26,-13.26
6.005202,BaseAutoTrader,Tick,10,10,0,3315,3315,13.26,-13.26,-13.26
6.251717,SpreadTrader,Tick,0,0,0,3315,3315,0.0,0.0,0.0
6.251717,PriceTrader,Tick,10,10,0,3315,3315,13.26,-13.26,-13.26
6.251717,BaseAutoTrader,Tick,10,10,0,3315,3315,13.26,-13.26,-13.26
6.500398,SpreadTrader,Tick,0,0,0,3315,3315,0.0,0.0,0.0
6.500398,PriceTrader,Tick,10,10,0,3315,3315,13.26,-13.26,-13.26
6.500398,BaseAutoTrader,Tick,10,10,0,3315,3315,13.26,-13.26,-13.26
6.753137,SpreadTrader,Tick,0,0,0,3317,3315,0.0,0.0,0.0
6.753137,PriceTrader,Tick,10,20,-10,3317,3315,9.94,-4.94,-24.94
6.753137,BaseAutoTrader,Tick,10,20,-10,3317,3315,9.94,-4.94,-24.94
7.001346,SpreadTrader,Tick,0,0,0,3317,3316,0.0,0.0,0.0
7.001346,PriceTrader,Tick,10,30,-20,3317,3316,16.57,3.43,-16.57
7.001346,BaseAutoTrader,Tick,10,30,-20,3317,3316,16.57,3.43,-16.57
7.252764,SpreadTrader,Tick,0,0,0,3317,3316,0.0,0.0,0.0
7.252764,PriceTrader,Tick,10,30,-20,3317,3316,16.57,3.43,-16.57
7.252764,BaseAutoTrader,Tick,10,30,-20,3317,3316,16.57,3.43,-16.57
7.502673,SpreadTrader,Tick,0,0,0,3317,3316,0.0,0.0,0.0
7.502673,PriceTrader,Tick,10,30,-20,3317,3316,16.57,3.43,-16.57
7.502673,BaseAutoTrader,Tick,10,30,-20,3317,3316,16.57,3.43,-16.57
7.752338,SpreadTrader,Tick,0,0,0,3317,3316,0.0,0.0,0.0
7.752338,PriceTrader,Tick,10,30,-20,3317,3316,16.57,3.43,-16.57
7.752338,BaseAutoTrader,Tick,10,30,-20,3317,3316,16.57,3.43,-16.57
8.004209,SpreadTrader,Tick,0,0,0,3315,3316,0.0,0.0,0.0
8.004209,PriceTrader,Tick,20,30,-10,3315,3316,13.25,-8.25,1.75
8.004209,BaseAutoTrader,Tick,20,30,-10,3315,3316,13.25,-8.25,1.75
8.25482,SpreadTrader,Tick,0,0,0,3315,3316,0.0,0.0,0.0
8.25482,PriceTrader,Tick,20,30,-10,3315,3316,13.25,-8.25,1.75
8.25482,BaseAutoTrader,Tick,20,30,-10,3315,3316,13.25,-8.25,1.75
8.504081,SpreadTrader,Tick,0,0,0,3315,3316,0.0,0.0,0.0
8.504081,PriceTrader,Tick,30,30,0,3315,3316,9.93,-9.93,-9.93
8.504081,BaseAutoTrader,Tick,30,30,0,3315,3316,9.93,-9.93,-9.93
8.753327,SpreadTrader,Tick,0,0,0,3315,3316,0.0,0.0,0.0
8.753327,PriceTrader,Tick,30,30,0,3315,3316,9.93,-9.93,-9.93
8.753327,BaseAutoTrader,Tick,30,30,0,3315,3316,9.93,-9.93,-9.93
9.000139,SpreadTrader,Tick,0,0,0,3315,3316,0.0,0.0,0.0
9.000139,PriceTrader,Tick,30,30,0,3315,3316,9.93,-9.93,-9.93
9.000139,BaseAutoTrader,Tick,30,30,0,3315,3316,9.93,-9.93,-9.93
9.254165,SpreadTrader,Tick,0,0,0,3315,3314,0.0,0.0,0.0
9.254165,PriceTrader,Tick,30,30,0,3315,3314,9.93,-9.93,-9.93
9.254165,BaseAutoTrader,Tick,30,30,0,3315,3314,9.93,-9.93,-9.93
9.501783,SpreadTrader,Tick,0,0,0,3315,3315,0.0,0.0,0.0
9.501783,PriceTrader,Tick,30,30,0,3315,3315,9.93,-9.93,-9.93
9.501783,BaseAutoTrader,Tick,30,30,0,3315,3315,9.93,-9.93,-9.93
9.750145,SpreadTrader,Tick,0,0,0,3315,3315,0.0,0.0,0.0
9.750145,PriceTrader,Tick,30,30,0,3315,3315,9.93,-9.93,-9.93
9.750145,BaseAutoTrader,Tick,30,30,0,3315,3315,9.93,-9.93,-9.93
10.002532,SpreadTrader,Tick,0,0,0,3315,3314,0.0,0.0,0.0
10.002532,PriceTrader,Tick,30,40,-10,3315,3314,16.56,-11.56,-21.56
10.002532,BaseAutoTrader,Tick,30,40,-10,3315,3314,16.56,-11.56,-21.56
10.25024,SpreadTrader,Tick,0,0,0,3315,3314,0.0,0.0,0.0
10.25024,PriceTrader,Tick,30,40,-10,3315,3314,16.56,-11.56,-21.56
10.25024,BaseAutoTrader,Tick,30,40,-10,3315,3314,16.56,-11.56,-21.56
10.504911,SpreadTrader,Tick,0,0,0,3315,3314,0.0,0.0,0.0
10.504911,PriceTrader,Tick,30,40,-10,3315,3314,16.56,-11.56,-21.56
10.504911,BaseAutoTrader,Tick,30,40,-10,3315,3314,16.56,-11.56,-21.56
10.751347,SpreadTrader,Tick,0,0,0,3315,3315,0.0,0.0,0.0
10.751347,PriceTrader,Tick,30,40,-10,3315,3315,16.56,-11.56,-11.56
10.751347,BaseAutoTrader,Tick,30,40,-10,3315,3315,16.56,-11.56,-11.56
11.001394,SpreadTrader,Tick,0,0,0,3315,3314,0.0,0.0,0.0
11.001394,PriceTrader,Tick,30,40,-10,3315,3314,16.56,-11.56,-21.56
11.001394,BaseAutoTrader,Tick,30,40,-10,3315,3314,16.56,-11.56,-21.56
11.250345,SpreadTrader,Tick,0,0,0,3315,3314,0.0,0.0,0.0
11.250345,PriceTrader,Tick,30,40,-10,3315,3314,16.56,-11.56,-21.56
11.250345,BaseAutoTrader,Tick,30,40,-10,3315,3314,16.56,-11.56,-21.56
11.501502,SpreadTrader,Tick,0,0,0,3315,3314,0.0,0.0,0.0
11.501502,PriceTrader,Tick,30,40,-10,3315,3314,16.56,-11.56,-21.56
11.501502,BaseAutoTrader,Tick,30,40,-10,3315,3314,16.56,-11.56,-21.56
11.753295,SpreadTrader,Tick,0,0,0,3315,3314,0.0,0.0,0.0
11.753295,PriceTrader,Tick,30,40,-10,3315,3314,16.56,-11.56,-21.56
11.753295,BaseAutoTrader,Tick,30,40,-10,3315,3314,16.56,-11.56,-21.56
12.002878,SpreadTrader,Tick,0,0,0,3315,3314,0.0,0.0,0.0
12.002878,PriceTrader,Tick,30,40,-10,3315,3314,16.56,-11.56,-21.56
12.002878,BaseAutoTrader,Tick,30,40,-10,3315,3314,16.56,-11.56,-21.56
12.250201,SpreadTrader,Tick,0,0,0,3315,3314,0.0,0.0,0.0
12.250201,PriceTrader,Tick,30,40,-10,3315,3314,16.56,-11.56,-21.56
12.250201,BaseAutoTrader,Tick,30,40,-10,3315,3314,16.56,-11.56,-21.56
12.50527,SpreadTrader,Tick,0,0,0,3315,3314,0.0,0.0,0.0
12.50527,PriceTrader,Tick,30,40,-10,3315,3314,16.56,-11.56,-21.56
12.50527,BaseAutoTrader,Tick,30,40,-10,3315,3314,16.56,-11.56,-21.56
12.75043,SpreadTrader,Tick,0,0,0,3315,3314,0.0,0.0,0.0
12.75043,PriceTrader,Tick,30,40,-10,3315,3314,16.56,-11.56,-21.56
12.75043,BaseAutoTrader,Tick,30,40,-10,3315,3314,16.56,-11.56,-21.56
13.002016,SpreadTrader,Tick,0,0,0,3315,3314,0.0,0.0,0.0
13.002016,PriceTrader,Tick,30,40,-10,3315,3314,16.56,-11.56,-21.56
13.002016,BaseAutoTrader,Tick,30,40,-10,3315,3314,16.56,-11.56,-21.56
13.250168,SpreadTrader,Tick,0,0,0,3315,3314,0.0,0.0,0.0
13.250168,PriceTrader,Tick,30,40,-10,3315,3314,16.56,-11.56,-21.56
13.250168,BaseAutoTrader,Tick,30,40,-10,3315,3314,16.56,-11.56,-21.56
13.504727,SpreadTrader,Tick,0,0,0,3315,3314,0.0,0.0,0.0
13.504727,PriceTrader,Tick,30,40,-10,3315,3314,16.56,-11.56,-21.56
13.504727,BaseAutoTrader,Tick,30,40,-10,3315,3314,16.56,-11.56,-21.56
13.753556,SpreadTrader,Tick,0,0,0,3315,3314,0.0,0.0,0.0
13.753556,PriceTrader,Tick,30,40,-10,3315,3314,16.56,-11.56,-21.56
13.753556,BaseAutoTrader,Tick,30,40,-10,3315,3314,16.56,-11.56,-21.56
14.004866,SpreadTrader,Tick,0,0,0,3316,3314,0.0,0.0,0.0
14.004866,PriceTrader,Tick,30,40,-10,3316,3314,16.56,-11.56,-31.56
14.004866,BaseAutoTrader,Tick,30,40,-10,3316,3314,16.56,-11.56,-31.56
14.251847,SpreadTrader,Tick,0,0,0,3316,3314,0.0,0.0,0.0
14.251847,PriceTrader,Tick,30,40,-10,3316,3314,16.56,-11.56,-31.56
14.251847,BaseAutoTrader,Tick,30,40,-10,3316,3314,16.56,-11.56,-31.56
14.502196,SpreadTrader,Tick,0,0,0,3316,3314,0.0,0.0,0.0
14.502196,PriceTrader,Tick,30,40,-10,3316,3314,16.56,-11.56,-31.56
14.502196,BaseAutoTrader,Tick,30,40,-10,3316,3314,16.56,-11.56,-31.56
14.750879,SpreadTrader,Tick,0,0,0,3316,3315,0.0,0.0,0.0
14.750879,PriceTrader,Tick,30,40,-10,3316,3315,16.56,-11.56,-21.56
14.750879,BaseAutoTrader,Tick,30,40,-10,3316,3315,16.56,-11.56,-21.56
15.004636,SpreadTrader,Tick,0,0,0,3316,3315,0.0,0.0,0.0
15.004636,PriceTrader,Tick,34,40,-6,3316,3315,19.21,-14.21,-20.21
15.004636,BaseAutoTrader,Tick,40,40,0,3316,3315,23.19,-18.19,-18.19
15.250914,SpreadTrader,Tick,0,0,0,3316,3315,0.0,0.0,0.0
15.250914,PriceTrader,Tick,40,40,0,3316,3315,17.22,-15.22,-15.22
15.250914,BaseAutoTrader,Tick,40,46,-6,3316,3315,27.17,-19.17,-25.17
15.500267,SpreadTrader,Tick,0,0,0,3316,3316,0.0,0.0,0.0
15.500267,PriceTrader,Tick,40,50,-10,3316,3316,13.9,-6.9,-6.9
15.500267,BaseAutoTrader,Tick,50,46,4,3316,3316,33.8,-30.8,-30.8
15.751361,SpreadTrader,Tick,0,0,0,3316,3316,0.0,0.0,0.0
15.751361,PriceTrader,Tick,50,50,0,3316,3316,10.58,-8.58,-8.58
15.751361,BaseAutoTrader,Tick,50,56,-6,3316,3316,40.43,-32.43,-32.43
16.004951,SpreadTrader,Tick,0,0,0,3316,3316,0.0,0.0,0.0
16.004951,PriceTrader,Tick,50,60,-10,3316,3316,17.21,-10.21,-10.21
16.004951,BaseAutoTrader,Tick,60,56,4,3316,3316,37.11,-34.11,-34.11
16.25264,SpreadTrader,Tick,20,0,20,3315,3316,-6.63,16.63,-3.37
16.25264,PriceTrader,Tick,60,60,0,3315,3316,23.84,-21.84,-21.84
16.25264,BaseAutoTrader,Tick,60,66,-6,3315,3316,33.79,-25.79,-19.79
16.503074,SpreadTrader,Tick,20,0,20,3316,3316,-6.63,16.63,16.63
16.503074,PriceTrader,Tick,60,70,-10,3316,3316,30.47,-23.47,-23.47
16.503074,BaseAutoTrader,Tick,70,66,4,3316,3316,30.47,-27.47,-27.47
16.751748,SpreadTrader,Tick,20,0,20,3316,3316,-6.63,16.63,16.63
16.751748,PriceTrader,Tick,70,70,0,3316,3316,37.1,-35.1,-35.1
16.751748,BaseAutoTrader,Tick,70,76,-6,3316,3316,27.15,-19.15,-19.15
17.003451,SpreadTrader,Tick,20,0,20,3316,3316,-6.63,16.63,16.63
17.003451,PriceTrader,Tick,70,80,-10,3316,3316,33.78,-26.78,-26.78
17.003451,BaseAutoTrader,Tick,80,76,4,3316,3316,33.78,-30.78,-30.78
17.250724,SpreadTrader,Tick,20,0,20,3316,3316,-6.63,16.63,16.63
17.250724,PriceTrader,Tick,80,80,0,3316,3316,30.46,-28.46,-28.46
17.250724,BaseAutoTrader,Tick,80,86,-6,3316,3316,40.41,-32.41,-32.41
17.5049,SpreadTrader,Tick,20,0,20,3316,3316,-6.63,16.63,16.63
17.5049,PriceTrader,Tick,80,90,-10,3316,3316,37.09,-30.09,-30.09
17.5049,BaseAutoTrader,Tick,90,86,4,3316,3316,37.09,-34.09,-34.09
17.75451,SpreadTrader,Tick,20,0,20,3316,3316,-6.63,16.63,16.63
17.75451,PriceTrader,Tick,90,90,0,3316,3316,43.72,-41.72,-41.72
17.75451,BaseAutoTrader,Tick,90,96,-6,3316,3316,33.77,-25.77,-25.77
18.002293,SpreadTrader,Tick,20,0,20,3315,3316,-6.63,16.63,-3.37
18.002293,PriceTrader,Tick,90,100,-10,3315,3316,50.35,-43.35,-33.35
18.002293,BaseAutoTrader,Tick,100,96,4,3315,3316,30.45,-27.45,-31.45
18.252563,SpreadTrader,Tick,20,0,20,3316,3316,-6.63,16.63,16.63
18.252563,PriceTrader,Tick,100,100,0,3316,3316,47.03,-45.03,-45.03
18.252563,BaseAutoTrader,Tick,100,106,-6,3316,3316,37.08,-29.08,-29.08
18.501028,SpreadTrader,Tick,20,0,20,3316,3316,-6.63,16.63,16.63
18.501028,PriceTrader,Tick,100,110,-10,3316,3316,53.66,-46.66,-46.66
18.501028,BaseAutoTrader,Tick,110,106,4,3316,3316,33.76,-30.76,-30.76
18.754432,SpreadTrader,Tick,20,0,20,3317,3316,-6.63,16.63,36.63
18.754432,PriceTrader,Tick,110,110,0,3317,3316,60.29,-58.29,-58.29
18.754432,BaseAutoTrader,Tick,110,116,-6,3317,3316,30.44,-22.44,-28.44
19.003878,SpreadTrader,Tick,20,0,20,3316,3316,-6.63,16.63,16.63
19.003878,PriceTrader,Tick,110,120,-10,3316,3316,66.92,-59.92,-59.92
19.003878,BaseAutoTrader,Tick,120,116,4,3316,3316,27.12,-24.12,-24.12
19.251696,SpreadTrader,Tick,20,0,20,3316,3316,-6.63,16.63,16.63
19.251696,PriceTrader,Tick,120,120,0,3316,3316,63.6,-61.6,-61.6
19.251696,BaseAutoTrader,Tick,120,126,-6,3316,3316,33.75,-25.75,-25.75
19.501287,SpreadTrader,Tick,20,0,20,3316,3316,-6.63,16.63,16.63
19.501287,PriceTrader,Tick,120,130,-10,3316,3316,60.28,-53.28,-53.28
19.501287,BaseAutoTrader,Tick,130,126,4,3316,3316,40.38,-37.38,-37.38
19.750167,SpreadTrader,Tick,20,0,20,3316,3316,-6.63,16.63,16.63
19.750167,PriceTrader,Tick,130,130,0,3316,3316,66.91,-64.91,-64.91
19.750167,BaseAutoTrader,Tick,130,136,-6,3316,3316,37.06,-29.06,-29.06
20.000699,SpreadTrader,Tick,20,0,20,3316,3316,-6.63,16.63,16.63
20.000699,PriceTrader,Tick,130,140,-10,3316,3316,73.54,-66.54,-66.54
20.000699,BaseAutoTrader,Tick,140,136,4,3316,3316,33.74,-30.74,-30.74
20.253518,SpreadTrader,Tick,20,0,20,3316,3316,-6.63,16.63,16.63
20.253518,PriceTrader,Tick,140,140,0,3316,3316,70.22,-68.22,-68.22
20.253518,BaseAutoTrader,Tick,140,146,-6,3316,3316,40.37,-32.37,-32.37
20.501445,SpreadTrader,Tick,20,0,20,3316,3316,-6.63,16.63,16.63
20.501445,PriceTrader,Tick,140,150,-10,3316,3316,76.85,-69.85,-69.85
20.501445,BaseAutoTrader,Tick,140,146,-6,3316,3316,40.37,-32.37,-32.37
20.752414,SpreadTrader,Tick,20,0,20,3316,3316,-6.63,16.63,16.63
20.752414,PriceTrader,Tick,140,150,-10,3316,3316,76.85,-69.85,-69.85
20.752414,BaseAutoTrader,Tick,140,146,-6,3316,3316,40.37,-32.37,-32.37
21.000273,SpreadTrader,Tick,20,0,20,3316,3316,-6.63,16.63,16.63
21.000273,PriceTrader,Tick,140,150,-10,3316,3316,76.85,-69.85,-69.85
21.000273,BaseAutoTrader,Tick,140,146,-6,3316,3316,40.37,-32.37,-32.37
21.253861,SpreadTrader,Tick,20,0,20,3316,3316,-6.63,16.63,16.63
21.253861,PriceTrader,Tick,140,150,-10,3316,3316,76.85,-69.85,-69.85
21.253861,BaseAutoTrader,Tick,140,146,-6,3316,3316,40.37,-32.37,-32.37
21.503409,SpreadTrader,Tick,20,0,20,3316,3316,-6.63,16.63,16.63
21.503409,PriceTrader,Tick,140,150,-10,3316,3316,76.85,-69.85,-69.85
21.503409,BaseAutoTrader,Tick,140,146,-6,3316,3316,40.37,-32.37,-32.37
21.755169,SpreadTrader,Tick,20,0,20,3316,3316,-6.63,16.63,16.63
21.755169,PriceTrader,Tick,140,150,-10,3316,3316,76.85,-69.85,-69.85
21.755169,BaseAutoTrader,Tick,140,146,-6,3316,3316,40.37,-32.37,-32.37
22.001488,SpreadTrader,Tick,20,0,20,3317,3317,-6.63,16.63,16.63
22.001488,PriceTrader,Tick,140,150,-10,3317,3317,76.85,-69.85,-69.85
22.001488,BaseAutoTrader,Tick,140,146,-6,3317,3317,40.37,-32.37,-32.37
22.253493,SpreadTrader,Tick,20,15,5,3317,3318,-11.61,21.61,16.61
22.253493,PriceTrader,Tick,150,150,0,3317,3318,83.48,-76.48,-76.48
22.253493,BaseAutoTrader,Tick,150,146,4,3317,3318,47.0,-39.0,-43.0
22.502492,SpreadTrader,Tick,20,20,0,3317,3318,-13.27,13.27,13.27
22.502492,PriceTrader,Tick,160,150,10,3317,3318,90.11,-63.11,-73.11
22.502492,BaseAutoTrader,Tick,160,146,14,3317,3318,53.63,-25.63,-39.63
22.751029,SpreadTrader,Tick,20,40,-20,3319,3318,-19.9,-20.1,-40.1
22.751029,PriceTrader,Tick,170,160,10,3319,3318,93.42,-46.42,-36.42
22.751029,BaseAutoTrader,Tick,170,156,14,3319,3318,56.94,-8.94,5.06
23.000099,SpreadTrader,Tick,20,40,-20,3319,3318,-19.9,-20.1,-40.1
23.000099,PriceTrader,Tick,170,170,0,3319,3318,100.06,-53.06,-53.06
23.000099,BaseAutoTrader,Tick,170,166,4,3319,3318,63.58,-15.58,-11.58
23.253458,SpreadTrader,Tick,20,40,-20,3319,3318,-19.9,-20.1,-40.1
23.253458,PriceTrader,Tick,170,170,0,3319,3318,100.06,-53.06,-53.06
23.253458,BaseAutoTrader,Tick,170,166,4,3319,3318,63.58,-15.58,-11.58
23.50077,SpreadTrader,Tick,20,40,-20,3319,3318,-19.9,-20.1,-40.1
23.50077,PriceTrader,Tick,170,170,0,3319,3318,100.06,-53.06,-53.06
23.50077,BaseAutoTrader,Tick,170,166,4,3319,3318,63.58,-15.58,-11.58
23.754928,SpreadTrader,Tick,20,40,-20,3319,3318,-19.9,-20.1,-40.1
23.754928,PriceTrader,Tick,170,170,0,3319,3318,100.06,-53.06,-53.06
23.754928,BaseAutoTrader,Tick,170,166,4,3319,3318,63.58,-15.58,-11.58
24.004589,SpreadTrader,Tick,20,40,-20,3319,3318,-19.9,-20.1,-40.1
24.004589,PriceTrader,Tick,170,170,0,3319,3318,100.06,-53.06,-53.06
24.004589,BaseAutoTrader,Tick,170,166,4,3319,3318,63.58,-15.58,-11.58
24.253054,SpreadTrader,Tick,20,40,-20,3319,3318,-19.9,-20.1,-40.1
24.253054,PriceTrader,Tick,170,170,0,3319,3318,100.06,-53.06,-53.06
24.253054,BaseAutoTrader,Tick,170,166,4,3319,3318,63.58,-15.58,-11.58
24.500104,SpreadTrader,Tick,20,40,-20,3319,3318,-19.9,-20.1,-40.1
24.500104,PriceTrader,Tick,170,170,0,3319,3318,100.06,-53.06,-53.06
24.500104,BaseAutoTrader,Tick,170,166,4,3319,3318,63.58,-15.58,-11.58
24.751096,SpreadTrader,Tick,20,40,-20,3319,3318,-19.9,-20.1,-40.1
24.751096,PriceTrader,Tick,170,170,0,3319,3318,100.06,-53.06,-53.06
24.751096,BaseAutoTrader,Tick,170,166,4,3319,3318,63.58,-15.58,-11.58
25.003426,SpreadTrader,Tick,20,40,-20,3319,3318,-19.9,-20.1,-40.1
25.003426,PriceTrader,Tick,170,170,0,3319,3318,100.06,-53.06,-53.06
25.003426,BaseAutoTrader,Tick,170,166,4,3319,3318,63.58,-15.58,-11.58
25.251049,SpreadTrader,Tick,20,40,-20,3319,3318,-19.9,-20.1,-40.1
25.251049,PriceTrader,Tick,170,170,0,3319,3318,100.06,-53.06,-53.06
25.251049,BaseAutoTrader,Tick,170,166,4,3319,3318,63.58,-15.58,-11.58
25.500591,SpreadTrader,Tick,20,40,-20,3319,3319,-19.9,-20.1,-20.1
25.500591,PriceTrader,Tick,170,180,-10,3319,3319,106.7,-44.7,-44.7
25.500591,BaseAutoTrader,Tick,170,176,-6,3319,3319,70.22,-7.22,-7.22
25.762689,SpreadTrader,Tick,40,40,0,3320,3319,-6.62,-63.38,-63.38
25.762689,PriceTrader,Tick,170,190,-20,3320,3319,103.38,-26.38,-46.38
25.762689,BaseAutoTrader,Tick,170,186,-16,3320,3319,66.9,11.1,-4.9
26.002995,SpreadTrader,Tick,40,40,0,3320,3318,-6.62,-63.38,-63.38
26.002995,PriceTrader,Tick,170,190,-20,3320,3318,103.38,-26.38,-66.38
26.002995,BaseAutoTrader,Tick,170,186,-16,3320,3318,66.9,11.1,-20.9
26.250692,SpreadTrader,Tick,40,40,0,3320,3318,-6.62,-63.38,-63.38
26.250692,PriceTrader,Tick,170,190,-20,3320,3318,103.38,-26.38,-66.38
26.250692,BaseAutoTrader,Tick,170,186,-16,3320,3318,66.9,11.1,-20.9
26.502087,SpreadTrader,Tick,40,40,0,3320,3318,-6.62,-63.38,-63.38
26.502087,PriceTrader,Tick,170,190,-20,3320,3318,103.38,-26.38,-66.38
26.502087,BaseAutoTrader,Tick,170,186,-16,3320,3318,66.9,11.1,-20.9
26.750774,SpreadTrader,Tick,40,40,0,3320,3318,-6.62,-63.38,-63.38
